decision_id,title,agenda_no,meeting_type,decision_type,decision_date,detail_url
10189,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2025-222-446호,제 2 소 위 원 회,심의ㆍ의결,2025-11-26,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10189&type=HTML&mobileYn=
10443,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2025-222-449호,제 2 소 위 원 회,심의ㆍ의결,2025-11-26,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10443&type=HTML&mobileYn=
10191,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2025-222-443호,제 2 소 위 원 회,심의ㆍ의결,2025-11-26,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10191&type=HTML&mobileYn=
10301,,,,심의 ㆍ 의결,,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10301&type=HTML&mobileYn=
10435,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2025-222-448호,제 2 소 위 원 회,심의ㆍ의결,2025-11-26,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10435&type=HTML&mobileYn=
10303,,,,심의 ㆍ 의결,,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10303&type=HTML&mobileYn=
10195,,,제 1 소 위 원 회,심의ㆍ의결,,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10195&type=HTML&mobileYn=
10373,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2025-024-299호,,심의ㆍ의결,2025-11-26,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10373&type=HTML&mobileYn=
10219,공공시스템 운영기관 실태점검 결과 및 시정조치에 관한 건,제2025-023-264호,,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10219&type=HTML&mobileYn=
10243,공공시스템 운영기관 실태점검 결과 및 시정조치에 관한 건,제2025-023-269호,,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10243&type=HTML&mobileYn=
10185,기후에너지환경부의 에너지바우처 발급 대상자 발굴 및 신청 안내를 위한 보건복지부 보유 개인정보 제공 요청에 관한 건,제2025-121-029호,제 1 소 위 원 회,심의ㆍ의결,2025-11-06,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10185&type=HTML&mobileYn=
10259,공공시스템 운영기관 실태점검 결과 및 시정조치에 관한 건,제2025-023-280호,,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10259&type=HTML&mobileYn=
10461,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2025-023-296호,,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10461&type=HTML&mobileYn=
10265,공공시스템 운영기관 실태점검 결과 및 시정조치에 관한 건,제2025-023-278호,,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10265&type=HTML&mobileYn=
10233,공공시스템 운영기관 실태점검 결과 및 시정조치에 관한 건,제2025-023-267호,,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10233&type=HTML&mobileYn=
10161,「문화기본법 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2025-221-425호,제 2 소 위 원 회,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10161&type=HTML&mobileYn=
10261,공공시스템 운영기관 실태점검 결과 및 시정조치에 관한 건,제2025-023-285호,,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10261&type=HTML&mobileYn=
10153,「지방세법 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2025-221-419호,제 2 소 위 원 회,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10153&type=HTML&mobileYn=
10267,공공시스템 운영기관 실태점검 결과 및 시정조치에 관한 건,제2025-023-283호,,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10267&type=HTML&mobileYn=
10277,공공시스템 운영기관 실태점검 결과 및 시정조치에 관한 건,제2025-023-292호,,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10277&type=HTML&mobileYn=
10235,공공시스템 운영기관 실태점검 결과 및 시정조치에 관한 건,제2025-023-259호,,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10235&type=HTML&mobileYn=
10251,공공시스템 운영기관 실태점검 결과 및 시정조치에 관한 건,제2025-023-275호,,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10251&type=HTML&mobileYn=
10249,공공시스템 운영기관 실태점검 결과 및 시정조치에 관한 건,제2025-023-276호,,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10249&type=HTML&mobileYn=
10433,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2025-221-438호,제 2 소 위 원 회,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10433&type=HTML&mobileYn=
10501,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2025-221-440호,제 2 소 위 원 회,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10501&type=HTML&mobileYn=
10513,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2025-221-437호,제 2 소 위 원 회,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10513&type=HTML&mobileYn=
10179,공공기관의 개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2025-221-430호,제 2 소 위 원 회,심의ㆍ의결,2025-11-20,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10179&type=HTML&mobileYn=
